,sido,sigungu,sales_all,sales_agriculture,sales_mine,sales_manufacture,sales_electricity,sales_disposal,sales_construction,sales_sale,sales_transportation,sales_accommodation,sales_info_com,sales_finance,sales_real_estate,sales_specialty,sales_management,sales_administration,sales_education,sales_health,sales_art,sales_association,elderly_pop_rate,elderly_pop,population,income_all,income_agriculture,income_mine,income_manufacture,income_electricity,income_disposal,income_construction,income_sale,income_transportation,income_accommodation,income_info_com,income_finance,income_real_estate,income_specialty,income_management,income_administration,income_education,income_health,income_art,income_association,group_sales,group_income
76,전라남도,구례군,1429092,33613,NA,152571,88608,15449,119839,329554,120624,55082,13596,75042,6419,9453,33661,190436,49815,92496,26068,16766,34.5,8882,25719,31.41974293,40.31666667,NA,26.4792176,40.5,54.925,35.34596577,13.71409305,10.11334552,6.662576687,46.66019417,91.90673575,12.43835616,40.24271845,35.96820809,94.44766709,52.4096,31.0532872,31.67953668,12.90857143,2,1
77,전라남도,나주시,19140299,441526,16358,3712524,5742204,98023,1342252,2078507,332578,283679,428792,1355701,222899,558275,137850,1329049,327800,376329,79164,276789,22.5,25986,115613,41.70993993,26.27783669,59.38297872,43.49199255,63.96328928,41.46563193,42.97709533,25.0733945,14.46267087,10.21017113,40.58503679,94.22714932,25.99147947,52.96718829,42.72142064,122.5306122,44.90674603,31.81089576,19.49731664,17.76834611,1,1
78,전라남도,담양군,4352240,55387,NA,1243197,122107,29480,712023,738341,339464,154383,53120,145279,57880,52847,29408,298106,110346,148768,28249,25146,31.2,14436,46280,32.75929118,32.21705426,NA,35.76198742,12.66579634,42.40540541,47.63297872,15.89982238,8.99136939,11.12164948,65.19186047,103.7327586,31.26086957,32.82305195,29.15526316,74.9088,59.53904282,32.20986505,26.48329049,13.97846154,4,1
79,전라남도,목포시,14412837,103736,2325,835698,324662,90904,1196931,3563584,1184609,633499,365540,2594007,356897,181203,154043,879312,624606,936667,93350,291264,16.9,37827,224044,29.3105613,96.08196721,47.30434783,25.232358,35.94017094,58.27969349,28.6087187,14.91467294,21.39310144,7.818321786,69.07643979,49.55322967,20.10703496,27.49541284,20.82229478,96.05271868,49.30733479,36.07505674,18.41963764,16.42885028,1,2
80,전라남도,무안군,6485144,139374,1891,627346,138318,55368,387066,1131241,196880,179660,34291,794618,298730,90895,52928,1518407,267519,226443,268701,75468,20.4,17528,86132,40.45607503,30.8995098,14.45,28.85344549,8.329254727,41.13422819,33.17872507,16.06788042,16.24455507,8.050790447,81.84042553,114.8781986,24.1182266,36.99235808,15.51668092,110.0432736,38.56872038,29.62616057,29.54331551,15.63794532,1,4
81,전라남도,보성군,2818754,126871,236,213087,124474,23029,652635,483628,168652,63807,46136,135919,98588,14596,22448,389511,72756,140137,17039,25205,38.5,15603,40482,28.90417439,35.16923077,10.25,22.37933818,14.57069409,39.13675214,27.17083333,13.07685312,14.87154862,6.151515152,90.74074074,88.42307692,42.77941176,31.32984293,29.31779661,80.17152778,47.59792844,24.19952681,14.75431034,9.09733124,4,4
82,전라남도,순천시,20775687,85918,8917,3851862,701802,165172,2034797,4567266,625453,718248,312306,3513263,375789,365772,462626,824701,622429,1001381,215218,322767,15.8,44445,282189,30.56344606,41.92696629,33.3877551,36.31119655,24.71287129,39.21052632,31.87721298,17.81134794,25.183681,9.628752531,57.68373245,52.99955496,21.44680146,42.02320859,58.30658274,72.18160096,36.43485056,34.2630597,16.96750609,13.55488987,1,1
83,전라남도,신안군,2082183,58752,66663,235809,341658,13868,217526,441322,69886,45007,13339,128063,1151,21560,9642,258061,60010,73987,10722,15157,36.7,14291,38938,24.8190618,28.88311688,3.489156627,23.44597458,38.96242775,44.01,19.2276301,15.56594886,15.99765808,5.478522984,50.1038961,95.84680851,13.75,36.76097561,23.88181818,52.19736842,44.50896861,30.22993311,22.20320856,12.44306931,2,2
84,전라남도,여수시,78231170,33056,17410,58960047,1479238,359517,3332243,4788550,1599923,1053835,132270,2131401,632053,325772,595244,932715,505880,824577,150053,377386,19.5,54587,280242,42.77355652,5.775800712,58.14,86.3092767,72.67843137,39.89731183,46.28006341,18.20049666,32.33886943,10.9686641,56.40679825,62.61509552,27.05568096,42.69565217,44.51309365,81.23904762,39.71016573,30.53264661,14.61934254,13.03291186,1,1
85,전라남도,영광군,5394077,381808,18578,640399,1871769,13703,523261,665509,47436,107028,27982,204141,25101,133342,124854,292466,90352,175985,20028,30335,29.2,15488,53099,37.33535757,56.33836207,10.68095238,17.32536665,92.04067797,35.1954023,37.51298701,12.91663921,10.65494792,5.871335505,53.40540541,107.6604215,27.67708333,79.13957935,63.7735426,88.27742947,43.19431988,33.65163607,17.60498221,9.85214447,4,3
86,전라남도,영암군,10523614,249083,12089,6545190,215331,49989,604810,1149431,206213,129804,30520,329187,44039,52423,90264,406758,202024,123358,51697,31404,26.8,14400,53699,41.41102412,43.35908142,60.13333333,51.77673916,8.844768439,45.93636364,33.42359895,20.96389892,24.02810963,13.34601903,50.7571885,113.1055156,19.71040724,33.23240589,37.4260355,77.10869565,68.80654762,25.86725293,17.89016393,10.18256131,4,1
87,전라남도,완도군,3586912,69074,18504,295089,91431,86115,267578,1451155,82121,88803,17210,420498,7884,25416,12035,422373,82959,105382,15679,27606,32.5,16244,49916,28.53232334,24.39534884,44.2815534,14.03518124,10.07176287,101.2083333,31.18862122,12.91424332,18.73903002,4.354700855,47.98843931,79.52061069,20.74285714,46.79310345,16.57627119,77.53288452,40.82771536,31.77021277,13.60915493,7.4375,2,2
88,전라남도,장성군,6536893,88971,16800,2024496,93723,49965,1841433,863413,547920,80556,52207,147984,62736,54320,68638,284159,69690,102152,42174,45556,30.1,13400,44464,36.60812449,28.82215743,70.72222222,39.21534884,3.403846154,35.15979381,52.32000987,21.24626335,23.69883641,7.332633053,76.53691275,138.0638978,24.07777778,36.44301471,39.85067873,64.22980959,46.14509804,24.42055611,27.02040816,15.25396825,4,4
